p_score,rel_atr,ema21_slope,bias_long,bias_short,momentum_vol_ratio,order_flow_imbalance,order_flow_pressure,order_flow_aggressor,news_sentiment,news_event_severity,realtime_confidence,volatility_ratio,volatility_regime_flag,precision_score,precision_trigger_ready,precision_trigger_arming,precision_trigger_fire,precision_trigger_confidence,precision_order_flow_ready,structure_flip_flag,momentum_trail_activation_rr,momentum_trail_lock_ratio,momentum_trail_price,analysis_timestamp,close,label
36.0,0.0001160217192658,-0.0003375030818508,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,62.0,1.0,0.0,1.0,0.54,0.0,0.0,0.0,0.0,0.0,2025-10-23 23:13:28+00:00,,0
52.0,8.291747378344057e-05,-0.0002753618063538,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9621338580792144,0.0,0.0,62.0,1.0,0.0,1.0,0.54,0.0,0.0,0.0,0.0,0.0,2025-10-23 23:29:17+00:00,,0
36.0,4.973817284114428e-05,-0.0002753618063538,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,62.0,1.0,0.0,1.0,0.54,0.0,0.0,0.0,0.0,0.0,2025-10-23 23:40:14+00:00,,0
36.0,4.148951546402044e-05,-0.0002753618063538,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.981901428463252,0.0,0.0,56.0,1.0,0.0,1.0,0.52,0.0,0.0,0.0,0.0,0.0,2025-10-23 23:50:07+00:00,,0
36.0,4.986128713034488e-05,-0.0002753618063538,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,62.0,1.0,0.0,1.0,0.54,0.0,0.0,0.0,0.0,0.0,2025-10-23 23:59:39+00:00,,0
36.0,5.817150165206903e-05,-0.0002753618063538,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,62.0,1.0,0.0,1.0,0.54,0.0,0.0,0.0,0.0,0.0,2025-10-24 01:46:39+00:00,,0
36.0,0.0001821733527159,-0.0002100031496741,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,62.0,1.0,0.0,1.0,0.54,0.0,1.0,0.0,0.0,0.0,2025-10-24 02:52:38+00:00,,0
52.0,0.0001273883782413,-0.0001558649653282,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,62.0,1.0,0.0,1.0,0.54,0.0,0.0,0.0,0.0,0.0,2025-10-24 03:28:08+00:00,,0
36.0,9.968752269121572e-05,-0.0001488042676631,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,62.0,1.0,0.0,1.0,0.54,0.0,1.0,0.0,0.0,0.0,2025-10-24 04:00:33+00:00,,0
36.0,0.0001027669540859,-0.0001149169180281,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,62.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,2025-10-24 04:28:09+00:00,,0
52.0,0.0001144629472362,-0.0001180537839824,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,62.0,1.0,0.0,1.0,0.54,0.0,0.0,0.0,0.0,0.0,2025-10-24 04:44:02+00:00,,0
